Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),"whether he/she donated blood in March 2007"
1 ,10,2500,43 ,1
4 ,7,1750,22 ,1
11 ,5,1250,37 ,1
16 ,4,1000,28 ,0
2 ,4,1000,23 ,0
23 ,8,2000,69 ,0
9 ,3,750,52 ,0
11 ,24,6000,64 ,0
2 ,14,3500,48 ,1
4 ,6,1500,38 ,1
8 ,8,2000,52 ,1
4 ,2,500,23 ,0
7 ,5,1250,35 ,0
3 ,10,2500,33 ,1
2 ,13,3250,32 ,1
11 ,9,2250,38 ,0
14 ,3,750,35 ,0
11 ,4,1000,27 ,0
4 ,10,2500,28 ,1
16 ,1,250,16 ,0
2 ,1,250,2 ,0
9 ,8,2000,38 ,1
23 ,1,250,23 ,0
14 ,6,1500,34 ,0
4 ,1,250,4 ,0
4 ,5,1250,33 ,1
16 ,1,250,16 ,0
11 ,3,750,23 ,0
4 ,5,1250,16 ,1
11 ,2,500,38 ,1
2 ,10,2500,49 ,0
14 ,13,3250,57 ,0
21 ,3,750,38 ,0
4 ,16,4000,98 ,1
23 ,2,500,23 ,0
16 ,2,500,16 ,0
14 ,2,500,35 ,1
23 ,2,500,28 ,0
2 ,1,250,2 ,1
5 ,24,6000,79 ,0
2 ,2,500,14 ,0
3 ,8,2000,50 ,0
4 ,6,1500,47 ,0
4 ,1,250,4 ,1
2 ,11,2750,26 ,0
4 ,6,1500,16 ,1
4 ,1,250,4 ,0
4 ,3,750,16 ,1
2 ,15,3750,49 ,1
14 ,18,4500,78 ,0
2 ,6,1500,41 ,1
16 ,5,1250,40 ,1
4 ,1,250,4 ,1
2 ,5,1250,34 ,0
4 ,8,2000,26 ,1
16 ,1,250,16 ,0
4 ,1,250,4 ,1
3 ,6,1500,21 ,0
23 ,1,250,23 ,0
2 ,7,1750,35 ,1
4 ,2,500,51 ,1
14 ,3,750,26 ,0
21 ,1,250,21 ,0
16 ,8,2000,76 ,0
9 ,2,500,52 ,0
23 ,19,4750,62 ,0
23 ,1,250,23 ,0
4 ,6,1500,46 ,0
23 ,2,500,26 ,0
4 ,7,1750,52 ,0
11 ,7,1750,62 ,1
1 ,13,3250,47 ,0
2 ,41,10250,98 ,1
16 ,3,750,21 ,0
2 ,1,250,2 ,0
4 ,6,1500,35 ,0
11 ,2,500,21 ,0
3 ,1,250,3 ,1
4 ,16,4000,38 ,1
23 ,4,1000,87 ,0
3 ,5,1250,38 ,0
4 ,2,500,4 ,1
4 ,4,1000,34 ,1
2 ,20,5000,45 ,1
2 ,8,2000,38 ,1
2 ,2,500,11 ,1
4 ,9,2250,38 ,1
11 ,9,2250,72 ,1
4 ,2,500,31 ,0
2 ,3,750,4 ,1
16 ,6,1500,81 ,0
2 ,5,1250,63 ,0
4 ,2,500,4 ,1
21 ,1,250,21 ,0
4 ,1,250,4 ,1
4 ,1,250,4 ,1
4 ,5,1250,16 ,1
2 ,3,750,75 ,1
2 ,3,750,16 ,1
11 ,1,250,11 ,0
2 ,6,1500,22 ,0
2 ,3,750,9 ,1
4 ,7,1750,32 ,1
21 ,1,250,21 ,1
0 ,2,500,4 ,0
16 ,1,250,16 ,0
11 ,1,250,11 ,1
2 ,1,250,2 ,1
14 ,2,500,21 ,1
14 ,2,500,14 ,1
4 ,10,2500,28 ,1
14 ,1,250,14 ,0
4 ,5,1250,46 ,0
11 ,6,1500,28 ,0
4 ,5,1250,58 ,0
4 ,3,750,25 ,1
35 ,3,750,64 ,0
9 ,9,2250,54 ,0
2 ,12,3000,70 ,1
17 ,7,1750,58 ,1
2 ,1,250,2 ,1
4 ,7,1750,25 ,0
2 ,13,3250,53 ,1
2 ,2,500,4 ,1
12 ,12,3000,58 ,0
2 ,2,500,10 ,1
2 ,11,2750,46 ,1
4 ,33,8250,98 ,1
23 ,7,1750,88 ,0
23 ,5,1250,33 ,0
4 ,11,2750,64 ,1
2 ,2,500,2 ,0
2 ,1,250,2 ,0
21 ,1,250,21 ,0
26 ,5,1250,49 ,1
2 ,43,10750,86 ,1
2 ,3,750,24 ,0
2 ,4,1000,16 ,0
16 ,1,250,16 ,0
4 ,4,1000,43 ,1
4 ,6,1500,28 ,1
2 ,7,1750,58 ,1
2 ,7,1750,46 ,1
23 ,1,250,23 ,1
4 ,4,1000,26 ,1
14 ,3,750,19 ,1
9 ,11,2750,49 ,1
2 ,6,1500,26 ,1
2 ,3,750,11 ,0
2 ,1,250,2 ,1
2 ,4,1000,16 ,1
14 ,4,1000,23 ,1
4 ,5,1250,11 ,1
11 ,8,2000,41 ,1
4 ,9,2250,26 ,1
2 ,16,4000,81 ,0
2 ,12,3000,98 ,0
2 ,6,1500,22 ,1
21 ,6,1500,48 ,0
14 ,4,1000,30 ,0
3 ,5,1250,12 ,1
2 ,1,250,2 ,0
11 ,2,500,11 ,0
11 ,1,250,11 ,0
4 ,1,250,4 ,0
3 ,4,1000,29 ,1
14 ,4,1000,22 ,1
4 ,8,2000,46 ,1
11 ,3,750,76 ,0
13 ,7,1750,76 ,0
2 ,4,1000,14 ,1
14 ,1,250,14 ,0
14 ,5,1250,28 ,1
16 ,11,2750,40 ,0
2 ,1,250,2 ,0
14 ,5,1250,50 ,0
2 ,2,500,11 ,0
4 ,5,1250,14 ,1
2 ,1,250,2 ,0
2 ,6,1500,15 ,1
4 ,1,250,4 ,0
4 ,5,1250,23 ,1
4 ,2,500,30 ,0
14 ,8,2000,50 ,1
2 ,11,2750,79 ,1
4 ,5,1250,28 ,0
2 ,5,1250,16 ,1
11 ,3,750,40 ,1
21 ,1,250,21 ,0
11 ,8,2000,72 ,0
9 ,2,500,16 ,1
4 ,1,250,4 ,1
4 ,9,2250,28 ,1
5 ,7,1750,26 ,1
3 ,17,4250,86 ,0
14 ,4,1000,28 ,1
6 ,2,500,11 ,1
11 ,1,250,11 ,0
2 ,6,1500,15 ,1
2 ,3,750,38 ,1
11 ,3,750,37 ,0
2 ,6,1500,26 ,0
4 ,2,500,9 ,1
4 ,8,2000,34 ,1
2 ,8,2000,28 ,1
2 ,1,250,2 ,0
6 ,22,5500,28 ,1
4 ,2,500,4 ,0
2 ,7,1750,29 ,0
11 ,6,1500,58 ,0
14 ,2,500,14 ,0
10 ,4,1000,16 ,0
11 ,11,2750,42 ,0
2 ,3,750,19 ,0
11 ,17,4250,79 ,1
4 ,12,3000,88 ,0
4 ,8,2000,48 ,1
2 ,2,500,4 ,1
21 ,2,500,41 ,0
2 ,21,5250,52 ,1
4 ,1,250,4 ,0
14 ,5,1250,26 ,0
4 ,2,500,4 ,1
2 ,1,250,2 ,0
11 ,3,750,16 ,1
14 ,3,750,31 ,0
2 ,6,1500,16 ,1
4 ,16,4000,70 ,1
2 ,11,2750,41 ,1
4 ,11,2750,95 ,0
2 ,8,2000,35 ,1
4 ,4,1000,18 ,0
4 ,5,1250,58 ,0
4 ,1,250,4 ,0
4 ,12,3000,34 ,1
16 ,1,250,16 ,0
14 ,1,250,14 ,0
7 ,10,2500,47 ,0
12 ,11,2750,39 ,0
16 ,6,1500,35 ,1
4 ,19,4750,69 ,1
2 ,11,2750,23 ,0
11 ,8,2000,52 ,1
11 ,2,500,26 ,0
2 ,5,1250,26 ,0
2 ,34,8500,77 ,1
4 ,20,5000,69 ,1
2 ,4,1000,11 ,0
23 ,3,750,41 ,0
2 ,2,500,23 ,0
14 ,3,750,26 ,0
4 ,5,1250,26 ,1
2 ,6,1500,35 ,1
